generation,candidate,rank,crowding,detection_time,beta_detected,migration,quarantine_threshold,death_fraction,peak_fraction,raw_death_fraction,raw_peak_fraction
4,2,5,Inf,9,0.09804864980899027,0.00508784514429822,0.11340002042237025,4.93631670769481,5.6126150451309575,0.10666666666666667,0.7829650041028143
4,3,6,Inf,5,0.09375087096143461,0.012219805001069698,0.07710878838507129,6.1153595047934015,6.888295455272742,0.126,0.8989359504793402
4,4,7,Inf,4,0.0858617983197529,0.03141823282403045,0.05345626506283754,6.474281638624724,7.279809802487197,0.129,0.9345281638624725
4,5,8,Inf,4,0.13157530240628035,0.011553183529970534,0.08288168115055919,6.653259646984359,7.478518945016128,0.12733333333333333,0.9525926313651025
4,6,9,Inf,3,0.041448765339479623,0.1285307777290808,0.10306564660836917,7.023958605683893,7.868321132918949,0.14366666666666666,0.9880291939017227
4,7,10,Inf,3,0.02168034388911153,0.10106280187585427,0.12514726245092245,7.027121912769312,7.924234104046243,0.096,0.9931121912769312
4,8,10,Inf,5,0.03529168988378175,0.019104670252231018,0.10648773975346902,7.064299473681191,7.9130627543826435,0.14333333333333334,0.9920966140347858
4,9,10,2.0,3,0.05761355004375625,0.1286561096253392,0.0929728055681812,7.055839390832099,7.918056663248642,0.13033333333333333,0.9925506057498765
4,10,14,Inf,4,0.13041761118047276,0.06811952603285637,0.0447032510249445,7.143666666666666,8.0,0.14366666666666666,1.0
4,11,2,Inf,7,0.06380394673482281,0.0,0.09417185501243426,0.38099999999999995,0.6666666666666665,0.04766666666666667,0.3333333333333333
4,12,3,Inf,3,0.04124434792351286,0.060302074900893086,0.0741230642699985,2.0771620626151015,2.517411602209945,0.06133333333333333,0.5015828729281768
4,13,4,Inf,5,0.04670328797068087,0.006128676888594271,0.10925082563452353,3.6502315729608914,4.222488063590314,0.08433333333333333,0.6565898239627558
4,14,11,Inf,6,0.11968084746976784,0.02283064418080017,0.09482289734838388,7.129362061381727,7.977298267519899,0.15,0.9979362061381727
4,15,13,Inf,4,0.04153103683792117,0.10162892782152609,0.07070755952651563,7.143281426314601,7.996276235612728,0.14666666666666667,0.9996614759647935
4,16,9,Inf,3,0.03887034956576117,0.16626718827284134,0.09554609400933861,7.00940307498894,7.8823767158211675,0.11633333333333333,0.9893069741655606
4,17,15,Inf,9,0.0925342854311674,0.03997330840647952,0.109838984057567,7.155,8.0,0.155,1.0
4,18,12,Inf,5,0.13601726834509129,0.033820925307536054,0.0732525392517754,7.141286116983791,7.992248062015503,0.14833333333333334,0.9992952783650457
5,1,2,Inf,2,0.024077824921176442,0.20910328820528848,0.09119240455169242,0.0,0.006333333333333333,0.0,0.006333333333333333
5,2,3,Inf,7,0.06380394673482281,0.0,0.09417185501243426,0.38099999999999995,0.6666666666666665,0.04766666666666667,0.3333333333333333
5,3,6,Inf,3,0.04124434792351286,0.060302074900893086,0.0741230642699985,2.0771620626151015,2.517411602209945,0.06133333333333333,0.5015828729281768
5,4,7,Inf,5,0.04670328797068087,0.006128676888594271,0.10925082563452353,3.6502315729608914,4.222488063590314,0.08433333333333333,0.6565898239627558
5,5,8,Inf,9,0.09804864980899027,0.00508784514429822,0.11340002042237025,4.93631670769481,5.6126150451309575,0.10666666666666667,0.7829650041028143
5,6,9,Inf,5,0.09375087096143461,0.012219805001069698,0.07710878838507129,6.1153595047934015,6.888295455272742,0.126,0.8989359504793402
5,7,10,Inf,4,0.0858617983197529,0.03141823282403045,0.05345626506283754,6.474281638624724,7.279809802487197,0.129,0.9345281638624725
5,8,11,Inf,4,0.13157530240628035,0.011553183529970534,0.08288168115055919,6.653259646984359,7.478518945016128,0.12733333333333333,0.9525926313651025
5,9,14,Inf,3,0.041448765339479623,0.1285307777290808,0.10306564660836917,7.023958605683893,7.868321132918949,0.14366666666666666,0.9880291939017227
5,10,1,Inf,2,0.01601791598100073,0.20323671300693968,0.10198848581858364,0.0,0.003,0.0,0.003
5,11,15,Inf,4,0.04597532698378361,0.08972724943428663,0.07736408136164752,7.117845718329795,7.984430290162774,0.132,0.9985845718329796
5,12,12,Inf,5,0.043431222958005,0.022313737829950046,0.0862504221156272,6.745653944020357,7.580152671755726,0.12733333333333333,0.9618320610687023
5,13,16,Inf,4,0.12044604795814827,0.02980631888274478,0.10774373676528069,7.133472450404589,7.988786362111715,0.14366666666666666,0.9989805783737923
5,14,15,Inf,4,0.08949926332501225,0.03798856295861085,0.10453610709279071,7.119449621475216,7.975927916956071,0.14133333333333334,0.9978116288141883
5,15,13,Inf,5,0.10041377170281066,0.042400151066183646,0.057742577406377865,6.833696787148595,7.664533132530122,0.13866666666666666,0.9695030120481928
5,16,5,Inf,5,0.04349034883158841,0.0,0.0917213683006178,0.38333333333333325,0.6666666666666665,0.05,0.3333333333333333
