philosophers,right_rate,replication,variant,deadlock,events,meals,throughput,fairness,observed_until
5,0.8,8,С арбитром,false,80,25,0.5,0.8865248226950354,50.0
5,0.8,9,Классическая,true,5,0,0.0,0.0,0.36649048558683844
5,0.8,9,С арбитром,false,73,23,0.46,0.9531531531531532,50.0
5,0.8,10,Классическая,true,5,0,0.0,0.0,0.7873713383917
5,0.8,10,С арбитром,false,61,19,0.38,0.8494117647058823,50.0
5,0.8,11,Классическая,true,5,0,0.0,0.0,1.0781190726925654
5,0.8,11,С арбитром,false,71,22,0.44,0.7223880597014926,50.0
5,0.8,12,Классическая,true,5,0,0.0,0.0,0.4325365495719184
5,0.8,12,С арбитром,false,70,22,0.44,0.9490196078431372,50.0
5,1.2,1,Классическая,true,5,0,0.0,0.0,0.641355446962801
5,1.2,1,С арбитром,false,105,34,0.68,0.7605263157894737,50.0
5,1.2,2,Классическая,true,8,1,0.02,0.2,1.8674072721317796
5,1.2,2,С арбитром,false,70,22,0.44,0.8491228070175438,50.0
5,1.2,3,Классическая,true,5,0,0.0,0.0,0.4763497440470702
5,1.2,3,С арбитром,false,97,31,0.62,0.9023474178403755,50.0
5,1.2,4,Классическая,true,14,3,0.06,0.36,3.2293348326438043
5,1.2,4,С арбитром,false,100,32,0.64,0.8062992125984252,50.0
5,1.2,5,Классическая,true,11,2,0.04,0.2,3.669148758077827
5,1.2,5,С арбитром,false,82,26,0.52,0.9797101449275363,50.0
5,1.2,6,Классическая,true,5,0,0.0,0.0,0.39629303523282
5,1.2,6,С арбитром,false,78,25,0.5,0.9541984732824428,50.0
5,1.2,7,Классическая,true,11,2,0.04,0.4,2.040243148017226
5,1.2,7,С арбитром,false,80,25,0.5,0.8741258741258742,50.0
5,1.2,8,Классическая,true,8,1,0.02,0.2,3.4824842247190553
5,1.2,8,С арбитром,false,83,26,0.52,0.8144578313253013,50.0
5,1.2,9,Классическая,true,5,0,0.0,0.0,1.293308176912606
5,1.2,9,С арбитром,false,89,28,0.56,0.9333333333333333,50.0
5,1.2,10,Классическая,true,17,4,0.08,0.5333333333333333,5.47322511454764
5,1.2,10,С арбитром,false,105,34,0.68,0.9102362204724409,50.0
5,1.2,11,Классическая,true,5,0,0.0,0.0,1.0944228422879136
5,1.2,11,С арбитром,false,88,28,0.56,0.9223529411764706,50.0
5,1.2,12,Классическая,true,11,2,0.04,0.2,3.0973962261193178
5,1.2,12,С арбитром,false,86,27,0.54,0.9055900621118013,50.0
7,0.4,1,Классическая,true,10,1,0.02,0.14285714285714285,2.0005809863332704
7,0.4,1,С арбитром,false,51,15,0.3,0.7142857142857143,50.0
7,0.4,2,Классическая,true,7,0,0.0,0.0,0.7602932427391048
7,0.4,2,С арбитром,false,52,15,0.3,0.7142857142857143,50.0
7,0.4,3,Классическая,true,7,0,0.0,0.0,0.5980817018412964
7,0.4,3,С арбитром,false,55,16,0.32,0.7314285714285714,50.0
7,0.4,4,Классическая,true,16,3,0.06,0.42857142857142855,3.005819738120241
7,0.4,4,С арбитром,false,48,14,0.28,0.9333333333333333,50.0
7,0.4,5,Классическая,true,7,0,0.0,0.0,2.2541676328602223
7,0.4,5,С арбитром,false,39,11,0.22,0.49387755102040815,50.0
7,0.4,6,Классическая,true,10,1,0.02,0.14285714285714285,3.3936292832022947
7,0.4,6,С арбитром,false,30,8,0.16,0.9142857142857143,50.0
7,0.4,7,Классическая,true,7,0,0.0,0.0,0.7984141268643317
7,0.4,7,С арбитром,false,54,16,0.32,0.7619047619047619,50.0
7,0.4,8,Классическая,true,7,0,0.0,0.0,0.6476645892602615
7,0.4,8,С арбитром,false,51,15,0.3,0.8241758241758241,50.0
7,0.4,9,Классическая,true,7,0,0.0,0.0,0.7595710600026577
7,0.4,9,С арбитром,false,45,13,0.26,0.3219047619047619,50.0
7,0.4,10,Классическая,true,10,1,0.02,0.14285714285714285,2.867935068031184
7,0.4,10,С арбитром,false,57,17,0.34,0.8425655976676385,50.0
7,0.4,11,Классическая,true,7,0,0.0,0.0,1.4435261162520368
7,0.4,11,С арбитром,false,61,18,0.36,0.8571428571428571,50.0
7,0.4,12,Классическая,true,10,1,0.02,0.14285714285714285,2.992697155729438
7,0.4,12,С арбитром,false,34,9,0.18,0.37327188940092165,50.0
7,0.8,1,Классическая,true,7,0,0.0,0.0,1.1394622976938797
7,0.8,1,С арбитром,false,78,24,0.48,0.7480519480519481,50.0
7,0.8,2,Классическая,true,10,1,0.02,0.14285714285714285,0.9712876540834209
7,0.8,2,С арбитром,false,85,26,0.52,0.8941798941798942,50.0
7,0.8,3,Классическая,true,7,0,0.0,0.0,0.3793115498125592
7,0.8,3,С арбитром,false,71,22,0.44,0.9097744360902256,50.0
7,0.8,4,Классическая,true,13,2,0.04,0.2857142857142857,3.0074332818068905
7,0.8,4,С арбитром,false,85,26,0.52,0.8941798941798942,50.0
