time,black,white,total,empty,temperature,luminosity,albedo,regulation_error,control_temperature,temperature_advantage
555,0,900,900,0,30.795876717665735,1.8624999999999816,0.75,8.295876717665735,88.19167233974107,57.39579562207534
556,0,900,900,0,29.421274502036113,1.8599999999999817,0.75,6.921274502036113,88.09522188007146,58.67394737803535
557,0,900,900,0,28.510525039077667,1.8574999999999817,0.75,6.010525039077667,87.99864204256333,59.48811700348567
558,0,900,900,0,27.831636915975704,1.8549999999999818,0.75,5.331636915975704,87.90193247965753,60.070295563681825
559,0,900,900,0,27.478726748105245,1.8524999999999818,0.75,4.978726748105245,87.80509284239098,60.32636609428573
560,0,900,900,0,26.763458927885253,1.8499999999999819,0.75,4.263458927885253,87.70812278039132,60.94466385250607
561,0,900,900,0,26.322190460757735,1.847499999999982,0.75,3.822190460757735,87.61102194186819,61.28883148111045
562,0,900,900,0,25.73770593274608,1.844999999999982,0.75,3.2377059327460813,87.51378997360591,61.77608404085983
563,0,900,900,0,25.501772448704468,1.842499999999982,0.75,3.001772448704468,87.41642652095683,61.91465407225236
564,0,900,900,0,25.61514213583601,1.839999999999982,0.75,3.1151421358360096,87.31893122783119,61.703789091995176
565,0,900,900,0,25.412834637860293,1.8374999999999821,0.75,2.9128346378602927,87.22130373669161,61.80846909883132
566,0,900,900,0,25.472847083259936,1.8349999999999822,0.75,2.9728470832599356,87.12354368854473,61.65069660528479
567,0,900,900,0,25.278746616949405,1.8324999999999823,0.75,2.7787466169494053,87.02565072293147,61.74690410598207
568,0,900,900,0,25.097597872096898,1.8299999999999823,0.75,2.597597872096898,86.92762447792151,61.830026605824614
569,0,900,900,0,24.92285798486424,1.8274999999999824,0.75,2.4228579848642404,86.8294645901045,61.906606605240256
570,0,900,900,0,24.751255340138567,1.8249999999999824,0.75,2.2512553401385667,86.73117069458058,61.979915354442014
571,0,900,900,0,24.476097697934804,1.8224999999999825,0.75,1.9760976979348044,86.63274242495507,62.156644727020264
572,0,900,900,0,24.884488741417552,1.8199999999999825,0.75,2.3844887414175524,86.53417941332586,61.6496906719083
573,0,900,900,0,24.724098900480524,1.8174999999999826,0.75,2.2240989004805236,86.43548129028048,61.71138238979995
574,0,900,900,0,24.419325688667225,1.8149999999999826,0.75,1.9193256886672252,86.33664768488353,61.9173219962163
575,0,900,900,0,24.46251767170563,1.8124999999999827,0.75,1.9625176717056299,86.23767822467083,61.775160552965204
576,0,900,900,0,27.02588016686801,1.8099999999999827,0.75,4.52588016686801,86.13857253564089,59.11269236877288
