case,replicate,required,repairers,failure_time,busy_area,capacity_time,queue_area
1,33,8,1,42967.13895793081,3382.864633228773,42967.13895793081,279.92237019776394
1,34,8,1,1724.1295844273986,136.53972441270088,1724.1295844273986,18.347779126080923
1,35,8,1,16340.10154045866,1297.2613135542997,16340.10154045866,111.22404626385372
1,36,8,1,22279.768136408056,1787.974031008235,22279.768136408056,134.5372780939869
1,37,8,1,1390.0967615395812,116.1494603071543,1390.0967615395812,13.486467623329133
1,38,8,1,30498.4241893596,2478.386949833083,30498.4241893596,216.71322170632666
1,39,8,1,8630.865344996548,714.6255703759335,8630.865344996548,62.960499296752175
1,40,8,1,13851.156734535529,1136.7529579668646,13851.156734535529,91.31747169603955
2,1,12,1,405.2642537092622,53.62013107629036,405.2642537092622,8.629702797016321
2,2,12,1,646.2578848242869,95.53055347035237,646.2578848242869,20.592912374527906
2,3,12,1,5577.21124218861,683.6111930266676,5577.21124218861,84.68234273614503
2,4,12,1,9204.082910726098,1163.8617733001117,9204.082910726098,159.71807037745367
2,5,12,1,10353.896707105923,1305.2321469646479,10353.896707105923,208.7167618583681
2,6,12,1,2152.892999232919,261.4841038831799,2152.892999232919,31.137053118791002
2,7,12,1,5110.710625929422,671.5932859018367,5110.710625929422,112.88734497093355
2,8,12,1,9645.272689569087,1179.200641364429,9645.272689569087,164.35005161513902
2,9,12,1,16568.207257037164,1925.2529900838986,16568.207257037164,232.76691746448765
2,10,12,1,2161.6909743398373,298.05370842026383,2161.6909743398373,51.077346640025894
2,11,12,1,298.18565614211,41.11966200066404,298.18565614211,3.3627805494371614
2,12,12,1,781.9336016577168,112.50022456290695,781.9336016577168,24.46339062924666
2,13,12,1,8865.443815309234,1041.4084973834142,8865.443815309234,136.6653991948932
2,14,12,1,16881.918962373416,2030.5245537541196,16881.918962373416,268.5900398787717
2,15,12,1,5907.7375815700725,672.3504840581784,5907.7375815700725,77.38820414022713
2,16,12,1,7027.446248975173,792.1153454329956,7027.446248975173,95.95963207010492
2,17,12,1,10021.308379384263,1162.1923369700453,10021.308379384263,114.04765744365986
2,18,12,1,9579.226313398194,1155.4742941980412,9579.226313398194,151.76951075282315
2,19,12,1,1611.3139813438092,234.18682793920874,1611.3139813438092,26.99995309969111
2,20,12,1,7027.605341246611,854.2148209419931,7027.605341246611,121.85508181695074
2,21,12,1,5640.701138055558,680.910365194181,5640.701138055558,88.54292580943022
2,22,12,1,2344.1781282776706,293.88116114654486,2344.1781282776706,46.344945428141685
2,23,12,1,2169.2359220765698,247.62447892055576,2169.2359220765698,27.1902162792683
2,24,12,1,1940.609794966768,277.50287303394396,1940.609794966768,30.765203175905764
2,25,12,1,2943.6798509011874,356.5533857805765,2943.6798509011874,46.3128488221246
2,26,12,1,3176.298202697472,399.1435423026701,3176.298202697472,57.10685012865405
2,27,12,1,6458.883912225474,773.022456578478,6458.883912225474,94.77379129930188
2,28,12,1,32571.84376774873,3832.7341462918334,32571.84376774873,452.2561176147307
2,29,12,1,7896.116849448354,903.1156916594315,7896.116849448354,112.17903509337785
2,30,12,1,2422.7640998035063,284.07775633397625,2422.7640998035063,37.39348721624327
2,31,12,1,25401.977441692474,2978.9829423987167,25401.977441692474,307.6554969904454
2,32,12,1,6096.33272176381,673.8897332176255,6096.33272176381,57.94916237886332
2,33,12,1,580.2450467144861,62.82881858610045,580.2450467144861,15.850822281461674
2,34,12,1,765.6953796256373,69.5844371960593,765.6953796256373,7.153098883143799
2,35,12,1,4617.130895457975,503.67443404765277,4617.130895457975,74.60918139849746
2,36,12,1,1059.0050355314954,130.41911901746033,1059.0050355314954,23.96464626022869
2,37,12,1,8110.205361826557,917.2532861684558,8110.205361826557,106.64859481967969
2,38,12,1,23089.32741810596,2751.5763229880304,23089.32741810596,339.1947201611414
2,39,12,1,5381.107455223392,631.7297625639903,5381.107455223392,86.14376113642561
2,40,12,1,10713.875123175336,1205.2265223574689,10713.875123175336,114.70077837084868
3,1,20,1,545.9062621560722,86.6818653393612,545.9062621560722,12.738406302752729
3,2,20,1,178.62362798873266,43.29761201863155,178.62362798873266,11.319552978130387
3,3,20,1,1097.1530451179833,243.536818568834,1097.1530451179833,49.64623514032621
3,4,20,1,436.98691169387274,89.31343933203564,436.98691169387274,29.921926562883264
3,5,20,1,890.786211104055,159.13390282227653,890.786211104055,33.42470020970574
3,6,20,1,1234.8548710848922,232.53801388877167,1234.8548710848922,53.05769718511449
3,7,20,1,176.43296085532862,36.95251186674963,176.43296085532862,4.322282125007824
3,8,20,1,324.2402532783553,67.42483175092889,324.2402532783553,21.501145018306325
3,9,20,1,1088.2501773855945,223.52006521909152,1088.2501773855945,57.78437264749314
3,10,20,1,150.69406634520917,30.362294729474684,150.69406634520917,3.0974675868212533
3,11,20,1,167.12768450436963,31.378061657736204,167.12768450436963,3.330497663801473
3,12,20,1,153.4931629740574,40.742759531235706,153.4931629740574,19.47372156354659
3,13,20,1,1233.7422393846946,235.66152583549143,1233.7422393846946,33.49321229812725
3,14,20,1,537.6233714161584,105.00463417816262,537.6233714161584,29.53967547872802
3,15,20,1,197.02700367258092,46.471199923240704,197.02700367258092,10.078611388829389
3,16,20,1,85.44339582606555,28.090083490351432,85.44339582606555,19.755434135812838
