t,S,I,R,N,Re
7.6,891.6861350740802,56.01849543554481,52.295369490375414,1000.0000000000003,1.7833722701481598
7.7,889.1675889430544,57.12280536452212,53.70960569242397,1000.0000000000006,1.7783351778861078
7.8,886.6068815415309,58.2414888964015,55.15162956206807,1000.0000000000005,1.7732137630830611
7.9,884.0037860474671,59.37441513155281,56.62179882098047,1000.0000000000005,1.7680075720949333
8.0,881.358094986296,60.521437239462855,58.12046777424153,1000.0000000000005,1.7627161899725912
8.1,878.6696212273996,61.68239195863054,59.64798681397023,1000.0000000000003,1.7573392424547987
8.2,875.9381988229165,62.85709919217887,61.20470198490495,1000.0000000000005,1.7518763976458323
8.3,873.163683518104,64.04536176961587,62.79095471228053,1000.0000000000003,1.7463273670362074
8.4,870.3459537544486,65.24696498173351,64.40708126381834,1000.0000000000005,1.7406919075088965
8.5,867.4849115944587,66.46167618865525,66.05341221688649,1000.0000000000005,1.7349698231889166
8.6,864.58048316941,67.68924463320602,67.7302721973845,1000.0000000000005,1.729160966338819
8.7,861.6326195727504,68.92940107607232,69.43797935117772,1000.0000000000005,1.7232652391455001
8.8,858.6412977435612,70.18185747367322,71.1768447827661,1000.0000000000005,1.7172825954871216
8.9,855.6065210580614,71.44630677840034,72.94717216353882,1000.0000000000005,1.711213042116122
9.0,852.5283199337207,72.72242274000844,74.74925732627136,1000.0000000000006,1.7050566398674405
9.1,849.4067526869651,74.00985964392383,76.58338766911159,1000.0000000000006,1.6988135053739293
9.2,846.2419062204658,75.30825216104772,78.449841618487,1000.0000000000005,1.692483812440931
9.3,843.0338963906257,76.61721526894937,80.34888834042545,1000.0000000000006,1.6860677927812504
9.4,839.7828688062251,77.9363440805204,82.28078711325495,1000.0000000000005,1.6795657376124495
9.5,836.4889994429051,79.26521381252977,84.24578674456568,1000.0000000000005,1.6729779988858093
9.6,833.1524949708336,80.60337977353366,86.24412525563324,1000.0000000000005,1.6663049899416664
9.7,829.7735933344852,81.95037733544305,88.27602933007219,1000.0000000000005,1.6595471866689697
9.8,826.3525642757962,83.30572201195434,90.34171371224988,1000.0000000000005,1.6527051285515917
9.9,822.8897096469968,84.66890956572125,92.44138078728248,1000.0000000000006,1.6457794192939927
10.0,819.3853637345784,86.0394160987854,94.57522016663678,1000.0000000000006,1.6387707274691559
10.1,815.8398936778923,87.41669824131725,96.74340808079107,1000.0000000000006,1.6316797873557836
10.2,812.2536996834968,88.80019345063432,98.94610686586945,1000.0000000000006,1.6245073993669927
10.3,808.6272151620844,90.18932017606821,101.18346466184786,1000.0000000000006,1.617254430324168
10.4,804.9609069989122,91.58347818238373,103.45561481870469,1000.0000000000006,1.6099218139978233
10.5,801.2552755857054,92.98204905074317,105.76267536355198,1000.0000000000005,1.60251055117141
10.6,797.5108548375031,94.38439643645442,108.1047487260431,1000.0000000000006,1.5950217096750052
10.7,793.7282122543439,95.78986653141465,110.48192121424195,1000.0000000000006,1.5874564245086868
10.8,789.9079487708561,97.19778871993014,112.89426250921429,1000.0000000000006,1.5798158975417114
10.9,786.050698612578,98.6074760339327,115.34182535348981,1000.0000000000005,1.5721013972251552
11.0,782.1571291637468,100.01822567773571,117.824645158518,1000.0000000000006,1.5643142583274927
11.1,778.2279406445417,101.4293198271681,120.34273952829069,1000.0000000000006,1.5564558812890825
11.2,774.2638657200624,102.84002635694317,122.89610792299491,1000.0000000000006,1.548527731440124
11.3,770.2656692317964,104.24959937900887,125.48473138919519,1000.0000000000005,1.5405313384635921
11.4,766.2341477037579,105.65728015909905,128.10857213714354,1000.0000000000005,1.532468295407515
11.5,762.1701286412018,107.06229814432417,130.7675732144745,1000.0000000000005,1.524340257282403
11.6,758.0744701729369,108.46387149861829,133.46165832844537,1000.0000000000005,1.5161489403458732
11.7,753.9480603557085,109.8612081524752,136.19073149181682,1000.0000000000006,1.5078961207114163
11.8,749.7918162116407,111.25350702530075,138.9546767630591,1000.0000000000006,1.4995836324232805
11.9,745.6066832110977,112.63995867885954,141.7533581100433,1000.0000000000006,1.4912133664221945
12.0,741.3936344253508,114.01974640796145,144.58661916668828,1000.0000000000005,1.482787268850701
12.1,737.1536693673668,115.39204758342653,147.45428304920725,1000.0000000000006,1.4743073387347327
