t,prey,predator,dprey_dt,dpredator_dt,prey_pct_change,predator_pct_change,invariant
110.9,45.435774843707115,6.769235388836644,-1.6077316154540071,1.0448839332613664,-3.5384707776732878,15.435774843707119,-0.7463862938010051
111.0,45.27054766699592,6.873971548422486,-1.6967143661890862,1.049693101917593,-3.7479430968449723,15.270547666995917,-0.7463862940518567
111.1,45.096453584354165,6.979144021129647,-1.7850475297125046,1.0536032377350666,-3.958288042259296,15.096453584354174,-0.7463862940287471
111.2,44.913564506826006,7.084660945832679,-1.8725910773103394,1.0565754802466665,-4.169321891665359,14.913564506826013,-0.746386293879624
111.3,44.721966406588706,7.190426639813166,-1.9592037320364284,1.0585721944037,-4.380853279626334,14.721966406588717,-0.7463862937509191
111.4,44.521759515063145,7.296341660764602,-2.0447434236996465,1.0595571893736002,-4.592683321529203,14.521759515063149,-0.7463862939104482
111.5,44.31305823737489,7.402303143020613,-2.1290679816100235,1.0594959597675726,-4.804606286041227,14.313058237374896,-0.7463862940848522
111.6,44.095991162690204,7.508204876900257,-2.2120356017202054,1.0583558959245356,-5.016409753800517,14.09599116269021,-0.7463862939457366
111.7,43.87070101767459,7.613937395976977,-2.2935053195564974,1.056106491868885,-5.227874791953956,13.870701017674593,-0.7463862938185266
111.8,43.637344624547865,7.719388303690407,-2.3733376915220585,1.0527195858813005,-5.438776607380815,13.637344624547866,-0.7463862937921557
111.9,43.39609267695585,7.824442496470788,-2.451395366751578,1.0481695682823453,-5.648884992941578,13.396092676955858,-0.7463862940146367
112.0,43.147129279228594,7.928982607873049,-2.5275438247702118,1.042433593984621,-5.857965215746099,13.147129279228599,-0.7463862940644088
112.1,42.890651923543196,8.032889034285903,-2.6016517578457545,1.0354917648142665,-6.065778068571806,12.890651923543201,-0.7463862939080227
112.2,42.62687107550392,8.136040291543043,-2.6735917039038206,1.0273273182641933,-6.272080583086087,12.626871075503919,-0.7463862937648879
112.3,42.35600991222726,8.238313314017999,-2.743240616548878,1.0179268096804024,-6.476626628035999,12.356009912227265,-0.74638629388114
112.4,42.07830340188674,8.339584020011172,-2.8104805926024534,1.0072802603922124,-6.6791680400223425,12.078303401886743,-0.7463862940900567
112.5,41.79399790680043,8.439727577921374,-2.8751993438321923,0.9953812938797055,-6.879455155842748,11.793997906800431,-0.7463862939747665
112.6,41.5033510087444,8.538618510674757,-2.9372905226914963,0.9822272585805414,-7.077237021349515,11.503351008744406,-0.7463862938331799
112.7,41.20663058760416,8.636131297540869,-2.996654382915847,0.9678193315758712,-7.272262595081736,11.206630587604161,-0.7463862937778432
112.8,40.90411422530898,8.73214069980874,-3.0531981897980263,0.9521625962218403,-7.464281399617481,10.904114225308984,-0.7463862940076975
112.9,40.596087976766995,8.826522395834653,-3.106836796527456,0.935266078351682,-7.653044791669306,10.596087976766997,-0.7463862940680237
113.0,40.28284626302661,8.919153038817885,-3.157492786879488,0.9171427949457094,-7.838306077635769,10.282846263026611,-0.7463862939100381
113.1,39.96469096276473,9.009910716776368,-3.2050968516849188,0.8978097589477856,-8.019821433552735,9.964690962764731,-0.7463862937644887
113.2,39.64193062795968,9.098675374384575,-3.2495880971575994,0.8772879676614114,-8.19735074876915,9.64193062795968,-0.7463862938933401
113.3,39.314879057965165,9.185329421206633,-3.290914400249642,0.8556023266610895,-8.370658842413267,9.314879057965163,-0.7463862940737
113.4,38.98385474788506,9.269757979526586,-3.3290324976497523,0.8327815923611537,-8.53951595905317,8.983854747885063,-0.7463862939394594
113.5,38.649180482698966,9.351849054131293,-3.363907990531663,0.8088583031613923,-8.703698108262587,8.649180482698974,-0.7463862938221324
113.6,38.311181990432175,9.431494127484122,-3.3955155601515123,0.7838686413521283,-8.862988254968242,8.311181990432173,-0.7463862938263897
113.7,37.97018699604863,9.50858850359451,-3.423838971394372,0.757852284421265,-9.017177007189018,7.970186996048634,-0.746386294008767
113.8,37.62652404527099,9.583031744438825,-3.4488710826473543,0.7308522202555792,-9.16606348887765,7.626524045270991,-0.746386293982555
113.9,37.280522344693516,9.654727725724742,-3.470613619746913,0.7029146093907102,-9.309455451449482,7.280522344693518,-0.7463862938862986
114.0,36.932510490516684,9.72358509295098,-3.4890771199652058,0.6740885566231434,-9.447170185901959,6.9325104905166866,-0.7463862938328054
114.1,36.582815649176695,9.789517532362082,-3.504280738698035,0.6444258920992278,-9.579035064724165,6.5828156491767,-0.7463862939360727
114.2,36.23176224744965,9.852444148048315,-3.516252053822298,0.6139808948691372,-9.704888296096629,6.23176224744965,-0.7463862939755183
114.3,35.87967177406742,9.912289521774582,-3.5250267140092517,0.5828100891756223,-9.824579043549162,5.879671774067417,-0.7463862939163595
114.4,35.526861884975446,9.968983951553856,-3.5306481311102673,0.5509719743377492,-9.937967903107712,5.526861884975447,-0.7463862938890956
114.5,35.17364556826947,10.022463680720577,-3.5331671477034345,0.5185267480490179,-10.044927361441156,5.1736455682694755,-0.7463862938994231
114.6,34.82033007381259,10.072671093287198,-3.5326416364829605,0.4855359939459505,-10.145342186574396,4.820330073812593,-0.7463862939259832
114.7,34.46721659152297,10.119554780967011,-3.529136069755138,0.45206243016361425,-10.239109561934022,4.46721659152297,-0.7463862939206942
114.8,34.11459974722599,10.163069613894216,-3.522721066901316,0.41816963664369267,-10.326139227788431,4.114599747225989,-0.7463862939593788
114.9,33.762766801414486,10.203176875842782,-3.5134729497118444,0.3839217521738121,-10.406353751685565,3.7627668014144873,-0.7463862939066561
115.0,33.411996965553016,10.23984427503462,-3.501473220348541,0.34938317594153556,-10.47968855006924,3.411996965553017,-0.7463862938641088
115.1,33.062561029779445,10.273045963997333,-3.4868080799498804,0.31461830226471266,-10.546091927994667,3.062561029779447,-0.7463862939223533
115.2,32.714721129161674,10.302762520728464,-3.469567941596041,0.2796912710375654,-10.605525041456925,2.714721129161673,-0.7463862940215075
115.3,32.36873012260469,10.32898093342189,-3.4498469132487832,0.24466568272805933,-10.65796186684378,2.3687301226046893,-0.74638629394443
115.4,32.0248312443859,10.351694484457077,-3.4277422547249747,0.20960434424465912,-10.703388968914156,2.024831244385903,-0.7463862938104328
115.5,31.68325781780717,10.370902672366626,-3.4033538816588256,0.17456903000978397,-10.741805344733248,1.6832578178071702,-0.7463862939165973
