time,S,I,R
43.8,4.9029929686429804e-18,12.544609160127262,987.4553908398728
44.0,2.081630718778119e-18,12.296209256033636,987.7037907439665
44.2,1.3667696270426079e-18,12.052728000283222,987.9472719997169
44.4,7.013689625009856e-19,11.814067994539348,988.1859320054607
44.6,3.282790890282776e-19,11.580133775038297,988.4198662249618
44.8,2.0549031057673426e-19,11.35083176358836,988.6491682364117
45.0,1.0465536203863321e-19,11.126070234515229,988.8739297654848
45.2,5.2707782444287657e-20,10.905759283651777,989.0942407163483
45.4,3.1947014026791786e-20,10.689810781614337,989.3101892183857
45.6,1.6634458167347754e-20,10.47813834498265,989.5218616550175
45.8,8.864828875484211e-21,10.270657305290069,989.72934269471
46.0,5.287604420039181e-21,10.0672846648494,989.9327153351506
46.2,2.852513506573514e-21,9.867939071278602,990.1320609287216
46.4,1.5907115440963853e-21,9.672540786838363,990.3274592131618
46.6,9.470589183655272e-22,9.481011646862592,990.5189883531375
46.8,5.312423335660553e-22,9.29327503691389,990.7067249630862
47.0,3.0772965099567883e-22,9.109255862788348,990.8907441372118
47.2,1.8505291180231072e-22,8.928880511485524,991.0711194885146
47.4,1.0770851893403507e-22,8.752076830644798,991.2479231693553
47.6,6.449539982931597e-23,8.578774098995137,991.421225901005
47.8,3.9460861403800516e-23,8.408902990270397,991.5910970097298
48.0,2.3766737701979185e-23,8.24239555435751,991.7576044456426
48.2,1.4662717620818398e-23,8.079185188122961,991.9208148118772
48.4,9.163982197971398e-24,7.9192066025152394,992.080793397485
48.6,5.6964074724844396e-24,7.7623958049296995,992.2376041950705
48.8,3.612316552559538e-24,7.608690070475126,992.391309929525
49.0,2.3103860165313126e-24,7.4580279122998006,992.5419720877004
49.2,1.4786901561797478e-24,7.310349064796696,992.6896509352035
49.4,9.620927663634055e-25,7.165594455435719,992.8344055445644
49.6,6.3004307576691435e-25,7.023706178213508,992.9762938217866
49.8,4.142927072888349e-25,6.884627477421081,993.115372522579
50.0,2.761573586532626e-25,6.748302720193285,993.2516972798069
50.2,1.851177385530555e-25,6.61467737289392,993.3853226271062
50.4,1.248241229598018e-25,6.483697985250716,993.5163020147494
50.6,8.513178118037998e-26,6.355312163775135,993.644687836225
50.8,5.837261254466382e-26,6.22946855083977,993.7705314491604
51.0,4.0293075390934254e-26,6.1061168090555675,993.8938831909446
51.2,2.8083312656395463e-26,5.985207595700702,994.0147924042994
51.4,1.9677747132716737e-26,5.8666925442168045,994.1333074557834
51.6,1.388353012652296e-26,5.750524248762915,994.2494757512372
51.8,9.877626649953687e-27,5.63665623976719,994.363343760233
52.0,7.065203688916644e-27,5.525042967555708,994.4749570324444
52.2,5.088008893242082e-27,5.415639787068354,994.5843602129319
52.4,3.691189618180002e-27,5.308402934615631,994.6915970653846
52.6,2.692180333263354e-27,5.203289513353655,994.7967104866465
52.8,1.9763964203683722e-27,5.100257478190324,994.8997425218098
53.0,1.4605183013472673e-27,4.999265613794248,995.000734386206
53.2,1.0850151698509603e-27,4.900273521638646,995.0997264783615
53.4,8.110450539287539e-28,4.803241605162645,995.1967583948375
53.6,6.098988876429007e-28,4.708131049042405,995.2918689509578
53.8,4.61018415035172e-28,4.614903807542272,995.3850961924578
54.0,3.505073702988889e-28,4.523522590026685,995.4764774099734
54.2,2.6796147111463896e-28,4.433950841460841,995.5660491585393
54.4,2.0588552711504324e-28,4.346152731855692,995.6538472681444
54.6,1.5905149283153668e-28,4.260093142195372,995.7399068578047
54.8,1.2350222360448194e-28,4.175737646134164,995.824262353866
55.0,9.636208767646546e-29,4.093052500418611,995.9069474995814
55.2,7.556896892278775e-29,4.012004631119035,995.987995368881
55.4,5.954698417062974e-29,3.9325616166603994,996.0674383833397
55.6,4.7138712556823114e-29,3.8546916790150156,996.1453083209851
55.8,3.749372761917505e-29,3.778363670190734,996.2216363298094
56.0,2.9956430460892296e-29,3.703547056677569,996.2964529433226
56.2,2.4039528355374552e-29,3.6302119112255866,996.3697880887746
56.4,1.9377252748662505e-29,3.5583288995894624,996.4416711004106
56.6,1.568531790382872e-29,3.4878692664085436,996.5121307335916
56.8,1.274971093935979e-29,3.4188048274174956,996.5811951725826
57.0,1.0406753446957124e-29,3.351107956475986,996.6488920435241
57.2,8.528230251145073e-30,3.2847515728513774,996.7152484271488
57.4,7.016343921360906e-30,3.2197091337405994,996.7802908662596
57.6,5.795056907468853e-30,3.155954621630731,996.8440453783695
57.8,4.804349604766415e-30,3.0934625329178354,996.9065374670823
58.0,3.997833439085322e-30,3.0322078706473077,996.9677921293528
58.2,3.3389140833729655e-30,2.9721661322585438,997.0278338677416
58.4,2.7984872837643175e-30,2.9133132994484296,997.0866867005517
58.6,2.3537644297088296e-30,2.855625831063809,997.1443741689363
58.8,1.9865358779423788e-30,2.7990806512835245,997.2009193487166
59.0,1.682209829725547e-30,2.7436551406187797,997.2563448593813
59.2,1.4292161115414978e-30,2.689327128915288,997.3106728710849
59.4,1.218202914273145e-30,2.636074884020651,997.3639251159794
59.6,1.041619860189134e-30,2.5838771038044683,997.4161228961957
59.8,8.934075468853555e-31,2.532712909249218,997.4672870907509
60.0,7.6861776177136775e-31,2.482561833641661,997.5174381663585
60.2,6.63225252499109e-31,2.4334038154918045,997.5665961845083
60.4,5.73962658730318e-31,2.385219191710681,997.6147808082894
60.6,4.981368608425255e-31,2.337988687352405,997.6620113126477
60.8,4.335404788654974e-31,2.291693409311792,997.7083065906883
61.0,3.7836257376165607e-31,2.2463148396039063,997.7536851603962
61.2,3.310977362635578e-31,2.201834825669659,997.7981651743304
61.4,2.9050273354094744e-31,2.1582355747359907,997.8417644252642
61.6,2.5554750793718307e-31,2.115499647226459,997.8845003527737
61.8,2.2536904009564243e-31,2.0736099476286336,997.9263900523715
62.0,1.9924922697774643e-31,2.0325497194074864,997.9674502805927
62.2,1.7658768740003044e-31,1.9923025385884068,998.0076974614118
62.4,1.5687769797215015e-31,1.952852305166103,998.047147694834
62.6,1.3969448305889331e-31,1.9141832384893431,998.0858167615108
62.8,1.2467992466215412e-31,1.8762798710299171,998.1237201289703
63.0,1.1152968647019137e-31,1.8391270403287985,998.1608729596715
63.2,9.998681261169551e-32,1.8027098847983647,998.1972901152018
63.4,8.983295347891589e-32,1.767013837628472,998.2329861623717
63.6,8.088137519724864e-32,1.732024619327935,998.2679753806723
63.8,7.297331255545977e-32,1.6977282338548643,998.3022717661453
64.0,6.597284877971766e-32,1.6641109626426518,998.3358890373576
64.2,5.976306422357681e-32,1.6311593577657129,998.3688406422345
64.4,5.424387773050525e-32,1.5988602383209596,998.4011397616792
64.6,4.932901349060648e-32,1.5672006845744364,998.4327993154258
64.8,4.494384662043076e-32,1.5361680317546473,998.4638319682456
65.0,4.102408182306806e-32,1.505749866621851,998.4942501333784
65.2,3.751393188917118e-32,1.4759340217475445,998.5240659782527
65.4,3.436489319848211e-32,1.4467085699193543,998.5532914300809
65.6,3.153491321721045e-32,1.4180618208475866,998.5819381791526
65.8,2.898728277354896e-32,1.389982315596449,998.6100176844038
66.0,2.668992839714415e-32,1.3624588215702207,998.63754117843
66.2,2.4614874923508732e-32,1.3354803293184323,998.6645196706818
66.4,2.2737563862895676e-32,1.309036047140512,998.6909639528596
66.6,2.1036437177166685e-32,1.2831153966130313,998.7168846033873
66.8,1.9492583354790243e-32,1.2577080094657611,998.7422919905345
67.0,1.8089313238513403e-32,1.232803722381343,998.767196277619
67.2,1.6811910613149206e-32,1.2083925730170055,998.7916074269832
67.4,1.5647395274532942e-32,1.1844647969335838,998.8155352030667
67.6,1.4584256165202817e-32,1.161010822609527,998.8389891773907
67.8,1.3612298935435173e-32,1.138021267906927,998.8619787320933
68.0,1.2722485240974744e-32,1.1154869370443676,998.8845130629559
68.2,1.1906762993517433e-32,1.0933988158407462,998.9066011841595
68.4,1.1157971221309421e-32,1.071748068574191,998.928251931426
68.6,1.0469729943965657e-32,1.0505260349972998,998.9494739650029
68.8,9.836330961233745e-33,1.029724225821389,998.9702757741787
69.0,9.252677157221461e-33,1.009334319917381,998.9906656800829
69.2,8.71420644593768e-33,0.9893481613786985,999.0106518386216
69.4,8.216820646664871e-33,0.9697577552510239,999.0302422447492
69.6,7.756845872595864e-33,0.9505552650261515,999.049444734974
69.8,7.33097971967099e-33,0.9317330097634525,999.0682669902368
70.0,6.936244317482528e-33,0.9132834600644585,999.0867165399358
70.2,6.569959875256068e-33,0.8951992358136127,999.1048007641866
70.4,6.229707894195983e-33,0.8774731033739133,999.1225268966263
70.6,5.9132996945354704e-33,0.8600979717992359,999.1399020282009
70.8,5.618758363463475e-33,0.843066890782616,999.1569331092176
71.0,5.344293062199168e-33,0.8263730479393996,999.1736269520608
71.2,5.0882775747251955e-33,0.8100097652471872,999.189990234753
71.4,4.849237816625879e-33,0.7939704971810498,999.2060295028192
71.6,4.6258336773700946e-33,0.7782488280657491,999.2217511719344
71.8,4.416844329365947e-33,0.762838468763493,999.2371615312368
72.0,4.2211593861814265e-33,0.7477332549611869,999.252266745039
72.2,4.037765937357035e-33,0.7329271445811444,999.2670728554191
72.4,3.8657384517569554e-33,0.7184142147306805,999.2815857852696
72.6,3.7042323748857126e-33,0.7041886601085413,999.2958113398918
72.8,3.552474793228092e-33,0.6902447904718989,999.3097552095284
73.0,3.409757462998822e-33,0.6765770278510121,999.3234229721493
73.2,3.275432079155251e-33,0.6631799050475815,999.3368200949527
73.4,3.1489035049859446e-33,0.6500480631609112,999.3499519368394
73.6,3.029624931517457e-33,0.6371762490626598,999.3628237509377
73.8,2.9170943204121738e-33,0.6245593139650919,999.3754406860352
74.0,2.8108494634681577e-33,0.6121922110123692,999.3878077889879
74.2,2.710464598943815e-33,0.6000699930043967,999.3999300069958
74.4,2.6155476977590584e-33,0.588187811017734,999.4118121889825
74.6,2.5257368384961955e-33,0.5765409120694991,999.4234590879307
74.8,2.4406978237469408e-33,0.5651246370750779,999.4348753629251
75.0,2.3601220848511966e-33,0.5539344195087972,999.4460655804914
75.2,2.2837240087389064e-33,0.5429657831482735,999.457034216852
75.4,2.2112392438128925e-33,0.5322143402479689,999.4677856597523
75.6,2.142423066823474e-33,0.5216757902306126,999.4783242097697
75.8,2.0770484021734716e-33,0.5113459175192745,999.4886540824809
76.0,2.014904605770138e-33,0.5012205899071573,999.4987794100931
76.2,1.9557961827604274e-33,0.49129575727417507,999.508704242726
76.4,1.8995413129132617e-33,0.48156744951286484,999.5184325504873
76.6,1.8459709678083182e-33,0.4720317750741386,999.5279682249261
76.8,1.7949278986035386e-33,0.4626849197063949,999.5373150802939
77.0,1.7462655327156874e-33,0.4535231444797887,999.5464768555205
77.2,1.69984732510092e-33,0.4445427844877595,999.5554572155125
77.4,1.6555459562210665e-33,0.4357402476085656,999.5642597523916
77.6,1.6132425020460205e-33,0.42711201263059856,999.5728879873697
77.8,1.5728259510362747e-33,0.41865462809015774,999.5813453719101
78.0,1.5341925672629265e-33,0.4103647110573724,999.5896352889429
78.2,1.4972452621936476e-33,0.4022389453633313,999.5977610546369
78.4,1.461893230024992e-33,0.3942740805556395,999.6057259194447
78.6,1.428051441540786e-33,0.3864669307123575,999.6135330692879
78.8,1.3956401652555986e-33,0.3788143727698115,999.6211856272305
79.0,1.3645846881346685e-33,0.37131334557882323,999.6286866544215
79.2,1.3348149135614193e-33,0.36396084875159035,999.6360391512486
79.4,1.3062649933011112e-33,0.3567539410872228,999.643246058913
79.6,1.2788731105304461e-33,0.3496897397131132,999.6503102602871
79.8,1.2525811610742754e-33,0.342765418970556,999.6572345810297
80.0,1.2273344676210792e-33,0.3359782089325528,999.6640217910676
80.2,1.2030816097062087e-33,0.32932539462098753,999.6706746053792
80.4,1.1797741699264518e-33,0.32280431492826905,999.6771956850719
80.6,1.1573665111185959e-33,0.3164123612292087,999.683587638771
80.8,1.1358156417050644e-33,0.31014697666388163,999.6898530233364
81.0,1.1150810121941098e-33,0.3040056550896469,999.6959943449106
81.2,1.0951243415765705e-33,0.2979859397921535,999.7020140602081
81.4,1.07590950910538e-33,0.2920854228218781,999.7079145771784
81.6,1.0574023902680119e-33,0.2863017439743349,999.7136982560259
81.8,1.0395707214820114e-33,0.28063258960155074,999.7193674103986
82.0,1.0223840119646109e-33,0.2750756919922436,999.724924308008
82.2,1.0058134109618376e-33,0.2696288283798574,999.7303711716203
82.4,9.898316021561833e-34,0.2642898198530346,999.7357101801472
82.6,9.744127310624189e-34,0.2590565307712036,999.7409434692289
82.8,9.59532297181731e-34,0.2539268678012251,999.746073132199
83.0,9.451670714186153e-34,0.24889877892333373,999.7511012210769
83.2,9.312950356740488e-34,0.24397025287552948,999.7560297471247
83.4,9.17895294985863e-34,0.23913931822026124,999.76086068178
83.6,9.049480127499307e-34,0.23440404244086968,999.7655959575593
83.8,8.924343600461897e-34,0.229762531409611,999.7702374685906
84.0,8.803364438745178e-34,0.22521292848606353,999.7747870715141
84.2,8.686372561536697e-34,0.22075341369816437,999.7792465863021
84.4,8.573206309263112e-34,0.2163822032299488,999.7836177967703
84.6,8.463711856007044e-34,0.2120975485533376,999.7879024514468
84.8,8.35774280620575e-34,0.20789773568732295,999.7921022643129
85.0,8.25515983131326e-34,0.20378108470257683,999.7962189152977
85.2,8.155830187584925e-34,0.19974594888806563,999.8002540511121
85.4,8.059627395553859e-34,0.1957907140817149,999.8042092859185
85.6,7.966430930277109e-34,0.19191379818993315,999.8080862018103
85.8,7.876125824661016e-34,0.18811365039017083,999.8118863496101
86.0,7.7886024132982e-34,0.1843887505264008,999.8156112494738
86.2,7.703756067577088e-34,0.18073760864234975,999.8192623913578
86.4,7.621486868568107e-34,0.17715876422070986,999.8228412357795
86.6,7.54169940105131e-34,0.17365078563696654,999.8263492143633
