time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5,Arbiter
13.1,0.32109781182926994,0.32109781182926994,0.32109781182926994,0.32109781182926994,0.32109781182926994,0.5832640237432309,0.5832640237432309,0.5832640237432309,0.5832640237432309,0.5832640237432309,0.09563816442749927,0.09563816442749927,0.09563816442749927,0.09563816442749927,0.09563816442749927,0.22545964740177077,0.22545964740177077,0.22545964740177077,0.22545964740177077,0.22545964740177077,0.6054890591463506
13.2,0.32109781657089975,0.32109781657089975,0.32109781657089975,0.32109781657089975,0.32109781657089975,0.5832640170979222,0.5832640170979222,0.5832640170979222,0.5832640170979222,0.5832640170979222,0.09563816633117816,0.09563816633117816,0.09563816633117816,0.09563816633117816,0.09563816633117816,0.2254596502397217,0.2254596502397217,0.2254596502397217,0.2254596502397217,0.2254596502397217,0.6054890828544999
13.3,0.3210978208467365,0.3210978208467365,0.3210978208467365,0.3210978208467365,0.3210978208467365,0.5832640111054139,0.5832640111054139,0.5832640111054139,0.5832640111054139,0.5832640111054139,0.09563816804784962,0.09563816804784962,0.09563816804784962,0.09563816804784962,0.09563816804784962,0.225459652798887,0.225459652798887,0.225459652798887,0.225459652798887,0.225459652798887,0.6054891042336837
13.4,0.3210978247025373,0.3210978247025373,0.3210978247025373,0.3210978247025373,0.3210978247025373,0.5832640057015785,0.5832640057015785,0.5832640057015785,0.5832640057015785,0.5832640057015785,0.09563816959588425,0.09563816959588425,0.09563816959588425,0.09563816959588425,0.09563816959588425,0.22545965510665314,0.22545965510665314,0.22545965510665314,0.22545965510665314,0.22545965510665314,0.6054891235126876
13.5,0.3210978281795642,0.3210978281795642,0.3210978281795642,0.3210978281795642,0.3210978281795642,0.5832640008285879,0.5832640008285879,0.5832640008285879,0.5832640008285879,0.5832640008285879,0.09563817099184806,0.09563817099184806,0.09563817099184806,0.09563817099184806,0.09563817099184806,0.22545965718771627,0.22545965718771627,0.22545965718771627,0.22545965718771627,0.22545965718771627,0.6054891408978221
13.6,0.32109783131502606,0.32109783131502606,0.32109783131502606,0.32109783131502606,0.32109783131502606,0.5832639964342944,0.5832639964342944,0.5832639964342944,0.5832639964342944,0.5832639964342944,0.09563817225067966,0.09563817225067966,0.09563817225067966,0.09563817225067966,0.09563817225067966,0.2254596590643465,0.2254596590643465,0.2254596590643465,0.2254596590643465,0.2254596590643465,0.6054891565751314
13.7,0.3210978341424764,0.3210978341424764,0.3210978341424764,0.3210978341424764,0.3210978341424764,0.5832639924716735,0.5832639924716735,0.5832639924716735,0.5832639924716735,0.5832639924716735,0.09563817338585023,0.09563817338585023,0.09563817338585023,0.09563817338585023,0.09563817338585023,0.2254596607566263,0.2254596607566263,0.2254596607566263,0.2254596607566263,0.2254596607566263,0.6054891707123831
13.8,0.3210978366921727,0.3210978366921727,0.3210978366921727,0.3210978366921727,0.3210978366921727,0.5832639888983199,0.5832639888983199,0.5832639888983199,0.5832639888983199,0.5832639888983199,0.09563817440950757,0.09563817440950757,0.09563817440950757,0.09563817440950757,0.09563817440950757,0.22545966228266526,0.22545966228266526,0.22545966228266526,0.22545966228266526,0.22545966228266526,0.6054891834608646
13.9,0.32109783899140004,0.32109783899140004,0.32109783899140004,0.32109783899140004,0.32109783899140004,0.5832639856759939,0.5832639856759939,0.5832639856759939,0.5832639856759939,0.5832639856759939,0.09563817533260614,0.09563817533260614,0.09563817533260614,0.09563817533260614,0.09563817533260614,0.22545966365879405,0.22545966365879405,0.22545966365879405,0.22545966365879405,0.22545966365879405,0.6054891949570014
14.0,0.32109784106476325,0.32109784106476325,0.32109784106476325,0.32109784106476325,0.32109784106476325,0.5832639827702125,0.5832639827702125,0.5832639827702125,0.5832639827702125,0.5832639827702125,0.09563817616502433,0.09563817616502433,0.09563817616502433,0.09563817616502433,0.09563817616502433,0.22545966489973907,0.22545966489973907,0.22545966489973907,0.22545966489973907,0.22545966489973907,0.6054892053238173
