t,mean_I,sd_I
65.0,2.65,6.531502607806988
65.25,2.7,6.578273649714362
65.5,2.6,6.769902432632867
65.75,2.9,7.859958483886608
66.0,3.0,8.104579602071645
66.25,3.1,8.571065155203105
66.5,3.15,8.56722641355139
66.75,3.35,9.033708802969139
67.0,3.5,9.489606502850757
67.25,3.65,10.16844965671034
67.5,3.7,10.382677881933928
67.75,3.4,8.934851926437752
68.0,3.35,8.71341977701788
68.25,3.55,9.433841657620325
68.5,3.5,9.104654680003259
68.75,3.3,8.461056298371414
69.0,3.4,9.427842304913451
69.25,3.75,9.866877072199426
69.5,3.55,9.202259447949096
69.75,3.75,10.020373981885212
70.0,4.0,10.672147714593594
70.25,4.3,11.164322875264663
70.5,4.25,11.158546405994683
70.75,3.95,10.835978084724587
71.0,3.75,10.592325921206005
71.25,3.8,10.645483351613194
71.5,3.75,10.725645606871902
71.75,3.65,10.474404894538727
72.0,3.65,10.484449637941246
72.25,3.6,10.63460092538057
72.5,3.5,10.384705352736681
72.75,3.3,9.915962675881435
73.0,3.55,11.19903661270163
73.25,3.6,11.422047009828704
73.5,3.2,10.092206477225252
73.75,3.15,9.874342083346482
74.0,3.45,10.971134374971635
74.25,3.55,11.413173367463996
74.5,3.35,10.98455853986811
74.75,3.3,10.372534583418393
75.0,3.25,10.124878166908323
75.25,2.95,8.828631651739995
75.5,2.9,9.267373442692152
75.75,2.65,8.809534308738579
76.0,2.55,8.556161214986668
76.25,2.65,8.809534308738579
76.5,2.75,9.244486265649892
76.75,2.65,8.468362173096805
77.0,2.65,8.468362173096805
77.25,2.45,7.830271891495012
77.5,2.5,8.042649471804411
77.75,2.3,7.197221686178631
78.0,2.3,7.138479861766235
78.25,2.3,7.197221686178631
78.5,2.2,7.142165380036329
78.75,2.25,6.99529917346755
79.0,2.45,7.836990560963539
79.25,2.25,7.202886848158065
79.5,2.2,6.8564222679025155
79.75,2.2,6.748099147557271
80.0,2.1,6.273587070954072
