t,mean_I,sd_I
28.5,23.55,9.561298084079983
28.75,22.25,9.513840333678973
29.0,20.9,8.771364894089354
29.25,20.0,7.786628214276601
29.5,18.65,7.659016014853961
29.75,17.45,7.192649756961324
30.0,16.65,7.050755838542194
30.25,15.85,6.690724136719747
30.5,15.3,6.586269609454281
30.75,13.85,5.5561724803662225
31.0,13.2,5.356746852531419
31.25,12.45,4.999736835179691
31.5,11.7,4.473312678070858
31.75,11.3,4.206511243549132
32.0,10.65,3.9105121484478085
32.25,10.15,3.9239480655396846
32.5,9.7,3.6720853103265165
32.75,9.1,3.6404164018622054
33.0,8.55,3.2843328249833563
33.25,8.1,2.9181825634603826
33.5,7.65,2.8520537383288884
33.75,7.2,2.6277867413271454
34.0,6.65,2.777257261172764
34.25,6.25,2.8996370008747827
34.5,6.15,3.0135658193191035
34.75,5.85,3.09966042282733
35.0,5.45,3.18673236370655
35.25,5.35,3.0135658193191035
35.5,4.95,2.625281939746262
35.75,4.6,2.326053807586891
36.0,4.4,2.1860803664140653
36.25,4.1,2.221900561515559
36.5,3.8,1.9628121608924702
36.75,3.7,1.8381913307436342
37.0,3.55,1.7910596686995397
37.25,3.5,2.039091645032686
37.5,3.3,1.9221698265515623
37.75,3.1,1.8890264827766654
38.0,2.95,1.7614288458371996
38.25,2.7,1.8093325317714033
38.5,2.7,1.8093325317714035
38.75,2.75,1.7434086394791457
39.0,2.55,1.7006190823220508
39.25,2.35,1.4964871146156007
39.5,2.3,1.4903196407411894
39.75,2.15,1.3484884325167863
40.0,1.8,1.1964860832322377
40.25,1.6,1.231174022502185
40.5,1.55,1.145931016569864
40.75,1.5,1.1470786693528088
41.0,1.5,1.1920791213585393
41.25,1.5,1.1920791213585393
41.5,1.3,1.1285761872936695
41.75,1.3,1.1285761872936695
42.0,1.25,1.1641577031891928
42.25,1.15,1.1367080817685316
42.5,1.1,1.0711528467275955
42.75,1.1,1.1652874052533588
43.0,1.1,1.1652874052533588
43.25,1.1,1.1652874052533588
43.5,1.05,1.1909748329127607
43.75,0.95,1.0990426455975697
44.0,0.85,1.1367080817685316
44.25,0.8,1.105012502906165
44.5,0.7,0.9233805168766386
44.75,0.65,0.812727700887249
45.0,0.65,0.8750939799154205
45.25,0.55,0.887041208323017
45.5,0.5,0.827170191868511
45.75,0.55,0.8870412083230169
46.0,0.55,0.8870412083230169
46.25,0.55,0.8870412083230169
46.5,0.5,0.827170191868511
46.75,0.45,0.7591546545162483
47.0,0.5,0.8885233166386386
47.25,0.5,0.8885233166386386
47.5,0.5,0.8885233166386386
47.75,0.5,0.8885233166386386
48.0,0.45,0.887041208323017
48.25,0.4,0.7539370349250519
48.5,0.4,0.7539370349250519
48.75,0.4,0.7539370349250519
49.0,0.4,0.7539370349250519
49.25,0.35,0.6708203932499368
49.5,0.35,0.6708203932499368
49.75,0.35,0.6708203932499368
50.0,0.35,0.6708203932499368
50.25,0.35,0.6708203932499368
50.5,0.35,0.6708203932499368
50.75,0.35,0.6708203932499368
51.0,0.3,0.5712405705774793
51.25,0.3,0.5712405705774793
51.5,0.25,0.4442616583193193
51.75,0.25,0.5501196042201808
52.0,0.2,0.41039134083406165
52.25,0.2,0.41039134083406165
52.5,0.2,0.41039134083406165
