t,S,I,R
35.0,220.5411060296388,29.39928253570862,750.0596114346545
35.25,219.74527402969662,28.38938746846931,751.8653385018358
35.5,218.9795426478371,27.411505546125216,753.6089518060395
35.75,218.24275383740238,26.46481955603116,755.2924266065683
36.0,217.53379502967883,25.54851772131427,756.9176872490087
36.25,216.85159733172458,24.661795118202832,758.4866075500744
36.5,216.1951337916447,23.803854942107748,760.0010112662495
36.75,215.5634177296097,22.9739096332744,761.4626726371179
37.0,214.955501132828,22.171181872247494,762.8733169949267
37.25,214.3704731126239,21.394905454828635,764.2346214325496
37.5,213.80745842173164,20.644326055659434,765.548215522611
37.75,213.26561602989324,19.918701889032427,766.8156820810764
38.0,212.74413775583642,19.21730427502004,768.0385579691452
38.25,212.24224695371495,18.539418118518924,769.218334927768
38.5,211.75919725210204,17.88434230833433,770.3564604395656
38.75,211.2942713436538,17.25139004297662,771.4543386133715
39.0,210.8467798235842,16.639889089409998,772.5133310870079
39.25,210.41606007513008,16.049181980582194,773.53475794429
39.5,210.00147520022185,15.478626157172982,774.5198986426078
39.75,209.6024129936201,14.927594058628067,775.4699929477545
40.0,209.21828495882255,14.395473168193988,776.3862418729861
40.25,208.84852536409468,13.881666016337352,777.2698086195705
40.5,208.49259033702603,13.38559014661828,778.1218195163585
40.75,208.1499569960647,12.906678047792479,778.9433649561457
41.0,207.8201226175351,12.444377055638265,779.7355003268294
41.25,207.50260383669195,11.998149227743314,780.4992469355674
41.5,207.19693588141794,11.56747119424064,781.2355929243442
41.75,206.9026718372211,11.151833987252926,781.9454941755288
42.0,206.61938194223853,10.750742851588962,782.6298752061753
42.25,206.34665291100188,10.363717039033993,783.289630049967
42.5,206.0840872857683,9.990289588387439,783.9256231258472
42.75,205.83130281426816,9.63000709322532,784.5386900925092
43.0,205.58793185276556,9.282429459200472,785.1296386880365
43.25,205.35362079337324,8.947129652540717,785.6992495540883
43.5,205.12802951460546,8.623693441262649,786.2482770441342
43.75,204.9108308541959,8.31171913048616,786.7774500153201
44.0,204.7017101032465,8.010817293111794,787.2874726036438
44.25,204.50036452081355,7.720610497008601,787.7790249821799
44.5,204.30650286807355,7.440733029754218,788.2527641021741
44.75,204.1198449612492,7.170830621870638,788.7093244168822
45.0,203.9401212425092,6.9105601694080985,789.149318588085
45.25,203.76707236809048,6.659589456645459,789.5733381752663
45.5,203.600448812923,6.417596879597611,789.9819543074818
45.75,203.44001049106757,6.184271170948734,790.3757183379861
46.0,203.28552639130803,5.959311126963926,790.7551624817307
46.25,203.13677422726676,5.742425336870769,791.120800435865
46.5,202.9935401014399,5.533331915146265,791.4731279834165
46.75,202.8556181825746,5.331758237092844,791.8126235803351
47.0,202.72281039583524,5.137440678039802,792.1397489261275
47.25,202.59492612523118,4.950124356462979,792.4549495183082
47.5,202.47178192779842,4.76956288127562,792.7586551909284
47.75,202.35320125905235,4.595518103506872,793.0512806374431
48.0,202.23901420924744,4.427759872551038,793.3332259182035
48.25,202.1290572500016,4.266065797140247,793.6048769528601
48.5,202.02317299086008,4.110221011165471,793.8666059979765
48.75,201.92120994539334,3.9600179444455823,794.1187721101635
49.0,201.8230223064403,3.81525609852127,794.3617215950411
49.25,201.7284697301259,3.6757418275297593,794.595788442347
49.5,201.63741712829463,3.541288124197551,794.8212947475103
49.75,201.54973446902213,3.411714410971406,795.0385511200088
50.0,201.465296584877,3.286846336292492,795.2478570788329
50.25,201.38398298861983,3.166515576004908,795.449501435378
50.5,201.3056776960415,3.050559639877454,795.643762664084
50.75,201.23026905565416,2.9388216832065797,795.8309092611423
51.0,201.15764958495924,2.8311503234586373,796.0112000915855
51.25,201.08771581303043,2.7273994619009176,796.1848847250718
51.5,201.02036812916043,2.6274281101633155,796.3522037606792
51.75,200.95551063732867,2.5311002216657763,796.5133891410086
52.0,200.89305101625965,2.4382845278408185,796.6686644559023
52.25,200.8329003848503,2.3488543790753997,796.818245236077
52.5,200.77497317275373,2.262687590292029,796.9623392369571
52.75,200.7191869959159,2.179666291085392,797.1011467130018
53.0,200.66546253687014,2.099676780327615,797.2348606828053
53.25,200.61372342960163,2.0226093851528195,797.3636671852487
53.5,200.5638961488039,1.9483583242295293,797.4877455269694
53.75,200.51590990335367,1.876821575227929,797.6072685214212
54.0,200.46969653384002,1.8079007463877657,797.7224027197753
54.25,200.4251904139891,1.7415009520918838,797.8333086339218
54.5,200.38232835583295,1.6775306923498774,797.9401409518198
54.75,200.34104951847638,1.6159017360961834,798.0430487454304
55.0,200.30129532032166,1.55652900820698,798.1421756714745
55.25,200.26300935461836,1.4993304801406178,798.2376601652444
55.5,200.22613730820777,1.4442270641068147,798.3296356276888
55.75,200.19062688333963,1.3911425106705815,798.4182306059928
56.0,200.15642772244217,1.3400033096977397,798.5035689678632
56.25,200.1234913357312,1.290738594549941,798.5857700697221
56.5,200.09177103154937,1.2432800494382592,798.6649489190155
56.75,200.06122184933105,1.197561819845732,798.7412163308265
57.0,200.03180049509047,1.1535204259305976,798.8146790789825
57.25,200.0034652793381,1.111094678823461,798.8854400418418
57.5,199.97617605733157,1.0702255997331633,798.9535983429388
57.75,199.9498941715714,1.0308563417777281,799.0192494866544
58.0,199.92458239645634,0.9929321144584162,799.0824854890889
58.25,199.90020488501597,0.9564001106966338,799.143395004291
58.5,199.8767271176406,0.92120943635513,799.2020634460081
58.75,199.85411585273354,0.8873110421667183,799.2585731051034
59.0,199.83233907921195,0.854657657995484,799.3130032627962
59.25,199.81136597078537,0.8232037293572474,799.3654302998608
59.5,199.79116684194653,0.7929053561278255,799.4159278019291
59.75,199.7717131056071,0.7637202333694213,799.4645666610269
60.0,199.75297723231736,0.7356075942072485,799.5114151734789
60.25,199.73493271101037,0.7085281546902719,799.5565391343027
60.5,199.7175540112112,0.6824440605716985,799.6000019282203
60.75,199.70081654665742,0.6573188359465981,799.6418646173992
61.0,199.68469664027722,0.6331173336857515,799.68218602604
61.25,199.66917149047367,0.6098056876065285,799.721022821923
61.5,199.65421913866544,0.587351266323273,799.7584295950145
61.75,199.63981843803836,0.5657226287213241,799.7944589332435
62.0,199.62594902346012,0.5448894810004299,799.8291614955426
62.25,199.61259128251578,0.5248226352348985,799.8625860822523
62.5,199.59972632762157,0.5054939693994067,799.894779702982
62.75,199.58733596917634,0.48687638881091655,799.9257876420155
63.0,199.575402689712,0.46894378893864874,799.9556535213524
63.25,199.56390961900482,0.4516710195355459,799.9844193614629
63.5,199.5528405101131,0.43503385004608486,800.0121256398442
63.75,199.5421797163041,0.4190089362467093,800.0388113474525
64.0,199.53191216883937,0.4035737880765251,800.0645140430873
64.25,199.52202335558496,0.38870673861724103,800.0892699058013
64.5,199.51249930041556,0.374386914182639,800.1131137854055
64.75,199.50332654338393,0.3605942054791353,800.1360792511407
65.0,199.49449212162617,0.34730923980023215,800.1581986385775
65.25,199.48598355097536,0.33451335421886325,800.1795030948095
65.5,199.4777888082574,0.32218856974281346,800.2000226220034
65.75,199.46989631424418,0.3103175663995324,800.2197861193598
66.0,199.46229491723744,0.2988836592177744,800.2388214235483
66.25,199.454973877263,0.2878707750745714,800.2571553476661
66.5,199.4479228508498,0.27726343037709594,800.274813718777
66.75,199.44113187637328,0.2670467095499879,800.2918214140808
67.0,199.43459135994178,0.2572062442997054,800.3082023957627
67.25,199.42829206180633,0.247728193628417,800.3239797445696
67.5,199.42222508327328,0.23859922457088328,800.3391756921601
67.75,199.41638185410153,0.2298064936286755,800.3538116522739
68.0,199.41075412036685,0.22133762887695235,800.3679082507606
68.25,199.40533393277556,0.213180712719862,800.3814853545091
68.5,199.40011363541035,0.20532426527145822,800.3945620993227
68.75,199.395085854893,0.1977572283398101,800.4071569167718
