time,transition,failed,working,spares,busy_repairers,repair_queue
442.2310349127656,interval_end,0,10,3,0,0
442.2310349127656,machine_failure,1,10,2,1,0
443.4037258397048,interval_end,1,10,2,1,0
443.4037258397048,repair_complete,0,10,3,0,0
444.99192597746617,interval_end,0,10,3,0,0
444.99192597746617,machine_failure,1,10,2,1,0
445.0481370470439,interval_end,1,10,2,1,0
445.0481370470439,repair_complete,0,10,3,0,0
467.44197563703307,interval_end,0,10,3,0,0
467.44197563703307,machine_failure,1,10,2,1,0
467.9509120317122,interval_end,1,10,2,1,0
467.9509120317122,repair_complete,0,10,3,0,0
468.59293051485514,interval_end,0,10,3,0,0
468.59293051485514,machine_failure,1,10,2,1,0
469.56661900353475,interval_end,1,10,2,1,0
469.56661900353475,repair_complete,0,10,3,0,0
478.65871524107143,interval_end,0,10,3,0,0
478.65871524107143,machine_failure,1,10,2,1,0
479.6199928811926,interval_end,1,10,2,1,0
479.6199928811926,repair_complete,0,10,3,0,0
482.6769863676951,interval_end,0,10,3,0,0
482.6769863676951,machine_failure,1,10,2,1,0
482.8947863517302,interval_end,1,10,2,1,0
482.8947863517302,repair_complete,0,10,3,0,0
500.46628067149766,interval_end,0,10,3,0,0
500.46628067149766,machine_failure,1,10,2,1,0
501.73726261291,interval_end,1,10,2,1,0
501.73726261291,repair_complete,0,10,3,0,0
517.1005733789731,interval_end,0,10,3,0,0
517.1005733789731,machine_failure,1,10,2,1,0
518.3231972832715,interval_end,1,10,2,1,0
518.3231972832715,repair_complete,0,10,3,0,0
525.3102049308027,interval_end,0,10,3,0,0
525.3102049308027,machine_failure,1,10,2,1,0
525.9306162577503,interval_end,1,10,2,1,0
525.9306162577503,repair_complete,0,10,3,0,0
531.7833483856433,interval_end,0,10,3,0,0
531.7833483856433,machine_failure,1,10,2,1,0
532.0355033921221,interval_end,1,10,2,1,0
532.0355033921221,repair_complete,0,10,3,0,0
544.9903733416927,interval_end,0,10,3,0,0
544.9903733416927,machine_failure,1,10,2,1,0
545.1620942689044,interval_end,1,10,2,1,0
545.1620942689044,repair_complete,0,10,3,0,0
555.4264848734167,interval_end,0,10,3,0,0
555.4264848734167,machine_failure,1,10,2,1,0
555.6532677073453,interval_end,1,10,2,1,0
555.6532677073453,repair_complete,0,10,3,0,0
559.1505255231034,interval_end,0,10,3,0,0
559.1505255231034,machine_failure,1,10,2,1,0
559.470635534614,interval_end,1,10,2,1,0
559.470635534614,repair_complete,0,10,3,0,0
561.1702378482374,interval_end,0,10,3,0,0
561.1702378482374,machine_failure,1,10,2,1,0
561.4467943966664,interval_end,1,10,2,1,0
561.4467943966664,repair_complete,0,10,3,0,0
